Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;RandomKeys;Size;Type;UseCapacity
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;5,570316;0,000007;B/op;true;1024;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;16,117251;0,000103;B/op;true;1024;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,093755;0,000006;B/op;true;1024;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,07813;0,000008;B/op;true;1024;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,070319;0,000007;B/op;true;1024;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,07813;0,000013;B/op;true;1024;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,07032;0,000012;B/op;true;1024;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;9,865978;0,000009;B/op;true;1149;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;14,36386;0,000091;B/op;true;1149;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,213234;0,000007;B/op;true;1149;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,19931;0,000006;B/op;true;1149;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,192347;0,000015;B/op;true;1149;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,19931;0,000012;B/op;true;1149;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,192349;0,000023;B/op;true;1149;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,787602;0,000012;B/op;true;1290;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;12,793849;0,000101;B/op;true;1290;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,42481;0,00001;B/op;true;1290;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,41241;0,000008;B/op;true;1290;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,406209;0,000018;B/op;true;1290;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,412409;0,000015;B/op;true;1290;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,406208;0,000015;B/op;true;1290;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,828737;0,000007;B/op;true;1448;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;11,397846;0,000115;B/op;true;1448;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;5,723763;0,000006;B/op;true;1448;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;11,37018;0,000025;B/op;true;1448;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;5,707189;0,000014;B/op;true;1448;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;5,712714;0,000007;B/op;true;1448;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;5,707191;0,000017;B/op;true;1448;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,976004;0,000012;B/op;true;1625;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;10,15635;0,000124;B/op;true;1625;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;10,141547;0,000016;B/op;true;1625;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;10,131702;0,000028;B/op;true;1625;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;10,126782;0,000015;B/op;true;1625;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;10,131702;0,000029;B/op;true;1625;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;10,126779;0,000016;B/op;true;1625;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,211513;0,000012;B/op;true;1825;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;9,043337;0,000159;B/op;true;1825;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;9,030146;0,000013;B/op;true;1825;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;9,02138;0,00003;B/op;true;1825;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;9,016998;0,000014;B/op;true;1825;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;9,021377;0,000026;B/op;true;1825;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;9,016995;0,000015;B/op;true;1825;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;5,535164;0,000008;B/op;true;2048;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;16,05875;0,000131;B/op;true;2048;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,046885;0,000015;B/op;true;2048;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,039076;0,000023;B/op;true;2048;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,035166;0,000013;B/op;true;2048;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,039075;0,000018;B/op;true;2048;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,03517;0,000021;B/op;true;2048;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;9,830375;0,000009;B/op;true;2299;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;14,305474;0,000108;B/op;true;2299;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,168346;0,000019;B/op;true;2299;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,16139;0,000017;B/op;true;2299;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,157909;0,000015;B/op;true;2299;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,161392;0,00002;B/op;true;2299;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,157911;0,000017;B/op;true;2299;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,759703;0,000025;B/op;true;2580;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;12,747436;0,000179;B/op;true;2580;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,387607;0,000012;B/op;true;2580;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,381411;0,000019;B/op;true;2580;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,378306;0,000024;B/op;true;2580;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,381411;0,00003;B/op;true;2580;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,378312;0,00002;B/op;true;2580;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,803878;0,000016;B/op;true;2896;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;11,356473;0,000124;B/op;true;2896;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;5,690618;0,000017;B/op;true;2896;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;11,342568;0,000038;B/op;true;2896;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;5,682334;0,000014;B/op;true;2896;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;5,685101;0,000031;B/op;true;2896;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;5,682335;0,000023;B/op;true;2896;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,95172;0,000035;B/op;true;3251;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;10,116429;0,000208;B/op;true;3251;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;10,108911;0,00004;B/op;true;3251;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;10,104;0,000047;B/op;true;3251;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;10,101527;0,00003;B/op;true;3251;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;10,103991;0,000049;B/op;true;3251;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;10,101527;0,000043;B/op;true;3251;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,193495;0,000022;B/op;true;3649;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;9,012995;0,000152;B/op;true;3649;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;9,00633;0,000034;B/op;true;3649;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;9,001955;0,000041;B/op;true;3649;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,999754;0,000031;B/op;true;3649;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;9,001955;0,000038;B/op;true;3649;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,999753;0,000048;B/op;true;3649;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;5,517591;0,000011;B/op;true;4096;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;16,029514;0,00048;B/op;true;4096;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,023461;0,000056;B/op;true;4096;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,019561;0,000043;B/op;true;4096;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,017604;0,000025;B/op;true;4096;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,019563;0,000024;B/op;true;4096;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,017594;0,000033;B/op;true;4096;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;9,814728;0,000028;B/op;true;4598;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;14,279478;0,000187;B/op;true;4598;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,147486;0,000031;B/op;true;4598;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,144002;0,000058;B/op;true;4598;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,14226;0,000047;B/op;true;4598;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,144008;0,000077;B/op;true;4598;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,142251;0,000029;B/op;true;4598;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,744062;0,000044;B/op;true;5161;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;12,721809;0,000365;B/op;true;5161;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,367783;0,00004;B/op;true;5161;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,364689;0,000071;B/op;true;5161;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,363125;0,000029;B/op;true;5161;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,364691;0,000065;B/op;true;5161;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,363125;0,000042;B/op;true;5161;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,790118;0,000048;B/op;true;5793;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;11,333958;0,000331;B/op;true;5793;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;5,673088;0,000049;B/op;true;5793;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;11,326835;0,000093;B/op;true;5793;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;5,668932;0,000043;B/op;true;5793;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;5,670327;0,000046;B/op;true;5793;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;5,668931;0,000055;B/op;true;5793;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,940662;0,000044;B/op;true;6502;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;10,098129;0,000454;B/op;true;6502;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;10,094183;0,000068;B/op;true;6502;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;10,09173;0,000108;B/op;true;6502;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;10,090494;0,000064;B/op;true;6502;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;10,091728;0,000077;B/op;true;6502;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;10,090485;0,000039;B/op;true;6502;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;6,183641;0,00004;B/op;true;7298;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,996769;0,000321;B/op;true;7298;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,993203;0,000125;B/op;true;7298;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,991025;0,000121;B/op;true;7298;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,989917;0,00009;B/op;true;7298;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,991022;0,00005;B/op;true;7298;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,98991;0,000075;B/op;true;7298;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;5,508815;0,000027;B/op;true;8192;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;16,015222;0,000623;B/op;true;8192;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,011776;0,000129;B/op;true;8192;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,009856;0,000036;B/op;true;8192;Koloboke;true
